Product,Pid,TotalSale,TotalComment,TotalRevenue,Net. (kg)
Wyeth/惠氏3段 1-3岁 S-26金装幼儿配方奶粉1200g三联包宝宝营养,13214897124,13,0,2087,1.2
圣元进口优博2段900g罐装 原装原罐进口婴幼儿奶粉 官方旗舰店,12779910653,61,3,9160,0.9
原装原罐 进口 雅培 亲护奶粉2段 6-18个月 易消化防清火防腹泻,13222159633,120,31,39480,0
【满200减20】伊利金领冠较大婴儿及幼儿配方2段900g克 全新升,13250124133,908,189,140740,0.9
Dumex/多美滋精确盈养 3段900g*3联罐1-3岁 婴幼儿配方奶粉,13041512355,0,0,0,0.9
买5送1有惊喜价 澳优 原装进口能力多4段奶粉800g 澳优能力多4段,13216291527,128,16,45823.9,0.8
NUKA努卡免疫新装较大婴儿配方奶粉二段6-12个月900g每罐有礼,36043967212,14,1,1984,0.9
【满200减20】伊利金领冠3段幼儿配方奶粉400g克盒全新升级,12709617109,472,69,27848,0.4
努卡nuka幼儿成长配方金装免疫奶粉三段1-3岁400g盒装包邮,36047995193,5,0,490,0.4
雅培喜康力4段900g 金装幼儿奶粉进口奶源【每个ID限购10件】,12988589107,63,18,8410,0.9
努卡nuka普装免疫系列较大婴儿配方奶粉二段6-12个月400g盒装包邮,36053392835,32,2,1862,0.4
原装进口 雅培2段金装亲护乳蛋白部分水解婴儿配方宝宝奶粉820g听,13204469830,0,0,0,0.82
努卡nuka较大婴儿配方奶粉金装免疫配方二段6-12个月400g/盒,36047667775,0,0,0,0.4
【满200减20】伊利金装4段儿童奶粉400克 步步益+ 新升级,13250088664,88,16,3532,0.4
nuka努卡超金装初生婴儿益智配方奶粉一段0-6个月900g听,36043926989,5,0,1440,0.9
【满200减20】伊利金领冠婴儿配方奶粉1段900g克*两听,13067170942,26,15,9152,0.9
努卡nuka普装免疫系列婴儿配方奶粉一段0-6个月400g/盒,36053424362,1,1,89.5,0.4
美赞臣安儿宝A+幼儿配方奶粉900g桶装 3/三段 1-3岁,13300338924,12,10,2220,0.9
努卡初生婴儿配方奶粉金装免疫一段0-6个月400g/盒,36049045441,3,1,294,0.4
【满200减20】伊利金装婴儿配方奶粉1段900克步步14年5月产,13250076837,421,96,55151,0.9
努卡幼儿成长配方奶粉金装免疫配方三段1-3岁900g包邮,36047551691,4,1,989.74,0.9
14年10月到期】旭贝尔 2段 奶粉400g 听装 6-18个月 美国原装进口,12775005321,0,0,0,0.4
努卡nuka法国原装进口奶粉金装致睿二段6-12个月900g湿法工艺,36044627220,32,5,6408.4,0.9
雅培 原装原罐 进口雅培亲护奶粉1段 0-12个月 易消化 小分子蛋白,13153116172,125,34,44000,0
努卡nuka法国原装进口奶粉初生婴儿致睿一段900g旗舰店积分有礼,36044374321,11,5,2134,0.9
【满200减20】伊利金装幼儿配方奶粉3段900g克*两听装 步步益+,13067366761,72,42,17280,0.9
NUKA努卡超金装幼儿成长奶粉益智配方三段1-3岁900g听,36044314353,4,2,536,0.9
飞鹤星飞帆1段婴幼儿配方奶粉 700g/听 0-3个月 部分地区免邮,13224677802,2,2,546,0.7
nuka努卡超金装较大婴儿益智配方奶粉二段6-12个月900g听,36044026968,7,2,1152,0.9
【满339送140】御宝羊乐乐双益BB较大婴配方羊奶2段800g全国积分,13041852481,0,0,0,0.8
努卡nuka普装免疫系列幼儿配方奶粉三段1-3岁400g盒装,36046106175,10,2,870,0.4
美赞臣安婴儿A+婴幼儿配方奶粉400g盒装 1/一段 新生儿,13300537925,5,2,470,0.4
努卡初生婴儿配方奶粉金装免疫配方奶粉一段0-6个月900g听装,36046463491,0,0,0,0.9
完达山4段果维舒儿童配方奶粉 整箱,12765170197,10,5,5296.2,0
努卡nuka金装免疫奶粉较大婴儿二段6-12个月900g,36046766507,5,0,0,0.9
【满200减20】伊利金领冠幼儿配方奶粉3段900g克罐14年4月,12709625032,414,105,60858,0.9
努卡nuka金装金塔较大婴儿配方奶粉二段900g听装,37106722625,1,1,0,0.9
